iter	Passed	Remaining
0	47	4717
1	48	2361
2	48	1573
3	49	1178
4	49	942
5	50	784
6	50	672
7	51	587
8	51	520
9	51	465
10	52	421
11	52	384
12	52	352
13	52	325
14	53	301
15	53	280
16	53	262
17	54	246
18	54	231
19	54	218
20	54	206
21	55	195
22	55	185
23	55	176
24	56	168
25	56	160
26	56	152
27	56	146
28	57	139
29	57	134
30	57	128
31	57	123
32	58	118
33	58	113
34	58	109
35	59	105
36	59	101
37	59	97
38	59	93
39	60	90
40	60	86
41	60	83
42	60	80
43	61	77
44	61	75
45	61	72
46	62	70
47	62	67
48	62	65
49	63	63
50	63	61
51	63	58
52	64	56
53	64	54
54	64	52
55	64	51
56	65	49
57	65	47
58	65	45
59	66	44
60	66	42
61	66	40
62	66	39
63	67	37
64	67	36
65	67	34
66	67	33
67	68	32
68	68	30
69	68	29
70	68	28
71	69	26
72	69	25
73	69	24
74	70	23
75	70	22
76	70	21
77	70	19
78	71	18
79	71	17
80	71	16
81	71	15
82	72	14
83	72	13
84	72	12
85	72	11
86	73	10
87	73	10
88	73	9
89	73	8
90	74	7
91	74	6
92	74	5
93	74	4
94	75	3
95	75	3
96	75	2
97	76	1
98	76	0
99	76	0
